Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples
TP53,45,15,6,0,187,43,0,23,0,319,314,314
PIK3CA,0,0,15,0,331,0,0,0,0,346,313,313
TTN,8,0,1,1,227,16,0,3,0,256,158,158
GATA3,24,62,1,0,11,4,0,22,0,124,122,122
CDH1,35,30,4,0,13,27,0,14,0,123,120,120
MUC16,3,0,0,0,109,6,0,0,0,118,94,94
KMT2C,18,10,3,0,29,29,0,4,0,93,85,85
MAP3K1,36,29,4,0,23,19,0,4,0,115,79,79
HMCN1,2,1,1,0,56,6,0,1,0,67,54,54
SYNE1,2,0,0,0,58,7,0,2,0,69,53,53
RYR2,0,0,0,0,65,1,0,1,0,67,53,53
FLG,0,1,0,0,55,3,0,0,0,59,52,52
PTEN,14,5,1,0,16,13,0,5,0,54,50,50
NCOR1,5,4,0,0,22,13,0,8,0,52,48,48
USH2A,0,1,0,0,47,0,0,1,0,49,46,46
DMD,2,1,0,0,46,7,0,1,0,57,44,44
ZFHX4,3,1,1,0,43,1,0,0,0,49,44,44
SPTA1,1,0,0,0,38,6,0,1,0,46,43,43
MUC17,0,0,0,0,41,6,0,0,0,47,42,42
NEB,2,1,2,0,37,3,0,0,0,45,40,40
LRP2,1,0,0,0,38,1,0,2,0,42,38,38
NF1,7,2,0,0,13,10,0,7,0,39,38,38
MAP2K4,7,3,0,0,13,9,0,6,0,38,38,38
SYNE2,0,1,0,0,43,5,1,0,0,50,37,37
FAT3,4,0,0,0,35,2,0,0,0,41,37,37
RUNX1,9,11,1,0,14,2,0,2,0,39,37,37
ARID1A,11,0,0,0,13,12,0,2,0,38,36,36
APOB,2,0,1,0,35,2,0,0,0,40,35,35
RYR3,1,0,0,0,35,3,0,0,0,39,35,35
CSMD3,0,0,0,1,34,1,0,2,0,38,35,35
DST,2,3,0,0,43,5,0,1,0,54,34,34
TBX3,8,9,3,0,10,2,0,2,0,34,34,34
ADGRV1,2,1,0,0,30,5,0,1,0,39,33,33
HUWE1,0,0,0,0,38,1,0,0,0,39,33,33
PCLO,4,1,1,0,29,4,0,0,0,39,33,33
MDN1,3,0,1,0,30,4,0,0,0,38,33,33
PKHD1L1,3,2,0,0,31,2,0,0,0,38,33,33
CACNA1E,0,0,0,0,34,1,0,0,0,35,32,32
SPEN,9,4,0,0,18,9,0,0,0,40,31,31
MYCBP2,0,0,0,0,34,3,0,0,0,37,31,31
ABCA13,0,1,0,0,30,5,0,0,0,36,31,31
MACF1,1,0,0,0,31,4,0,0,0,36,31,31
OBSCN,1,1,0,0,31,2,0,0,0,35,30,30
DNAH11,1,0,0,0,29,3,0,0,0,33,30,30
RELN,0,0,0,0,28,3,0,2,0,33,30,30
KMT2D,7,0,1,0,21,2,0,0,0,31,29,29
MUC5B,1,0,0,0,27,0,0,1,0,29,29,29
XIRP2,0,0,0,0,32,4,0,0,0,36,28,28
PRUNE2,0,0,0,0,32,3,0,0,0,35,28,28
MXRA5,1,0,1,0,29,3,0,0,0,34,28,28
DNAH17,1,1,0,0,29,1,0,0,0,32,28,28
PIK3R1,0,0,13,6,9,2,0,0,0,30,28,28
FAT1,2,0,0,0,25,2,0,0,0,29,28,28
MYH9,2,0,0,1,23,2,0,1,0,29,28,28
AKAP9,2,0,0,0,27,5,0,0,0,34,27,27
LRP1,0,2,0,0,28,3,0,0,0,33,27,27
KIAA1109,0,1,0,0,26,3,0,2,0,32,26,26
CSMD1,0,0,0,0,28,3,0,0,0,31,26,26
HERC2,0,0,1,0,28,2,0,0,0,31,26,26
CUBN,2,0,0,0,26,2,0,0,0,30,26,26
DNAH8,3,0,0,0,22,4,0,1,0,30,26,26
DNAH9,0,1,0,0,26,2,0,1,0,30,26,26
LRP1B,1,0,0,0,29,0,0,0,0,30,26,26
BIRC6,2,0,1,0,25,1,0,0,0,29,26,26
FMN2,0,0,0,0,25,3,0,0,0,28,26,26
FOXA1,4,1,2,0,21,0,0,0,0,28,26,26
AKT1,0,0,0,0,26,0,0,0,0,26,26,26
FCGBP,0,0,0,0,26,0,0,0,0,26,26,26
AHNAK,1,0,0,0,33,0,0,0,0,34,25,25
ATRX,2,0,1,0,27,2,0,1,0,33,25,25
MAP1A,3,1,0,0,22,3,0,0,0,29,25,25
PRKDC,0,1,0,0,24,3,0,1,0,29,25,25
VPS13C,0,0,0,0,24,2,0,3,0,29,25,25
AHCTF1,1,0,0,0,24,2,0,0,0,27,25,25
DYNC1H1,1,1,0,0,22,0,0,3,0,27,25,25
SVEP1,0,0,1,0,24,1,0,1,0,27,25,25
CSMD2,0,0,0,0,25,1,0,0,0,26,25,25
TAF1,0,0,1,0,22,3,0,0,0,26,25,25
RYR1,1,2,0,0,20,1,0,1,0,25,25,25
CMYA5,1,0,0,0,33,3,0,0,0,37,24,24
HERC1,3,0,0,0,24,3,0,0,0,30,24,24
ANK2,0,0,0,0,26,2,0,1,0,29,24,24
TEX15,3,1,0,0,23,2,0,0,0,29,24,24
DOCK11,3,1,0,0,19,2,0,2,0,27,24,24
VPS13B,0,0,0,0,25,2,0,0,0,27,24,24
COL12A1,2,0,0,0,22,2,0,0,0,26,24,24
GON4L,1,0,0,0,22,2,0,1,0,26,24,24
DYNC2H1,2,1,0,0,20,2,0,0,0,25,24,24
PTPRD,0,0,0,0,21,4,0,0,0,25,24,24
UTRN,0,0,0,0,17,5,0,2,0,24,24,24
ANK3,2,1,0,0,28,0,0,0,0,31,23,23
ASPM,3,0,0,0,25,0,0,1,0,29,23,23
F5,0,0,0,0,25,1,0,2,0,28,23,23
LYST,0,0,0,0,22,5,0,1,0,28,23,23
CHD4,0,0,0,0,22,4,0,1,0,27,23,23
KMT2A,7,0,0,0,11,5,0,2,0,25,23,23
TENM1,0,0,0,0,24,1,0,0,0,25,23,23
ANKRD12,9,0,0,0,10,4,0,1,0,24,23,23
BRCA1,4,0,1,0,11,5,0,2,0,23,23,23
SACS,3,0,0,0,25,4,0,1,0,33,22,22
CEP350,1,0,0,0,21,5,0,0,0,27,22,22
PAPPA2,1,0,0,0,23,0,0,2,0,26,22,22
BRCA2,4,0,2,0,16,2,0,1,0,25,22,22
SPHKAP,0,0,0,0,23,1,0,1,0,25,22,22
UNC13C,1,1,2,0,18,3,0,0,0,25,22,22
F8,1,2,0,0,18,3,0,0,0,24,22,22
CBFB,3,1,0,0,12,5,0,1,1,23,22,22
HYDIN,0,0,0,0,20,2,0,1,0,23,22,22
MED12,1,1,1,1,15,4,0,0,0,23,22,22
PREX2,0,0,0,0,23,0,0,0,0,23,22,22
USP34,0,0,0,0,19,1,0,3,0,23,22,22
USP9X,2,2,0,0,16,3,0,0,0,23,22,22
CHD6,0,0,1,0,16,4,0,1,0,22,22,22
PDZD2,0,0,0,0,20,0,0,2,0,22,22,22
BAZ2B,2,0,0,0,22,2,0,0,0,26,21,21
SCN10A,1,0,0,0,22,2,0,0,0,25,21,21
ADGRG4,1,1,0,0,22,0,0,0,0,24,21,21
CENPE,0,0,0,0,22,2,0,0,0,24,21,21
