Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples,MutatedRate
TP53,45,15,6,0,187,43,0,23,0,319,314,314,0.34505494505494505
PIK3CA,0,0,15,0,331,0,0,0,0,346,313,313,0.34395604395604396
TTN,8,0,1,1,227,16,0,3,0,256,158,158,0.17362637362637362
GATA3,24,62,1,0,11,4,0,22,0,124,122,122,0.13406593406593406
CDH1,35,30,4,0,13,27,0,14,0,123,120,120,0.13186813186813187
MUC16,3,0,0,0,109,6,0,0,0,118,94,94,0.10329670329670329
KMT2C,18,10,3,0,29,29,0,4,0,93,85,85,0.09340659340659341
MAP3K1,36,29,4,0,23,19,0,4,0,115,79,79,0.08681318681318681
HMCN1,2,1,1,0,56,6,0,1,0,67,54,54,0.05934065934065934
SYNE1,2,0,0,0,58,7,0,2,0,69,53,53,0.05824175824175824
RYR2,0,0,0,0,65,1,0,1,0,67,53,53,0.05824175824175824
FLG,0,1,0,0,55,3,0,0,0,59,52,52,0.05714285714285714
PTEN,14,5,1,0,16,13,0,5,0,54,50,50,0.054945054945054944
NCOR1,5,4,0,0,22,13,0,8,0,52,48,48,0.05274725274725275
USH2A,0,1,0,0,47,0,0,1,0,49,46,46,0.05054945054945055
DMD,2,1,0,0,46,7,0,1,0,57,44,44,0.04835164835164835
ZFHX4,3,1,1,0,43,1,0,0,0,49,44,44,0.04835164835164835
SPTA1,1,0,0,0,38,6,0,1,0,46,43,43,0.04725274725274725
MUC17,0,0,0,0,41,6,0,0,0,47,42,42,0.046153846153846156
NEB,2,1,2,0,37,3,0,0,0,45,40,40,0.04395604395604396
LRP2,1,0,0,0,38,1,0,2,0,42,38,38,0.041758241758241756
NF1,7,2,0,0,13,10,0,7,0,39,38,38,0.041758241758241756
MAP2K4,7,3,0,0,13,9,0,6,0,38,38,38,0.041758241758241756
SYNE2,0,1,0,0,43,5,1,0,0,50,37,37,0.04065934065934066
FAT3,4,0,0,0,35,2,0,0,0,41,37,37,0.04065934065934066
RUNX1,9,11,1,0,14,2,0,2,0,39,37,37,0.04065934065934066
ARID1A,11,0,0,0,13,12,0,2,0,38,36,36,0.03956043956043956
APOB,2,0,1,0,35,2,0,0,0,40,35,35,0.038461538461538464
RYR3,1,0,0,0,35,3,0,0,0,39,35,35,0.038461538461538464
CSMD3,0,0,0,1,34,1,0,2,0,38,35,35,0.038461538461538464
DST,2,3,0,0,43,5,0,1,0,54,34,34,0.03736263736263736
TBX3,8,9,3,0,10,2,0,2,0,34,34,34,0.03736263736263736
ADGRV1,2,1,0,0,30,5,0,1,0,39,33,33,0.03626373626373627
HUWE1,0,0,0,0,38,1,0,0,0,39,33,33,0.03626373626373627
PCLO,4,1,1,0,29,4,0,0,0,39,33,33,0.03626373626373627
MDN1,3,0,1,0,30,4,0,0,0,38,33,33,0.03626373626373627
PKHD1L1,3,2,0,0,31,2,0,0,0,38,33,33,0.03626373626373627
CACNA1E,0,0,0,0,34,1,0,0,0,35,32,32,0.035164835164835165
SPEN,9,4,0,0,18,9,0,0,0,40,31,31,0.03406593406593406
MYCBP2,0,0,0,0,34,3,0,0,0,37,31,31,0.03406593406593406
ABCA13,0,1,0,0,30,5,0,0,0,36,31,31,0.03406593406593406
MACF1,1,0,0,0,31,4,0,0,0,36,31,31,0.03406593406593406
OBSCN,1,1,0,0,31,2,0,0,0,35,30,30,0.03296703296703297
DNAH11,1,0,0,0,29,3,0,0,0,33,30,30,0.03296703296703297
RELN,0,0,0,0,28,3,0,2,0,33,30,30,0.03296703296703297
KMT2D,7,0,1,0,21,2,0,0,0,31,29,29,0.031868131868131866
